timestamp (seconds since 01/01/1970), system, entity , value (m)
1652101045.929702, lauv-thor, 62, 0.660535
1652101046.131489, lauv-thor, 62, 0.669448
1652101046.133246, lauv-thor, 62, 0.669448
1652101046.328796, lauv-thor, 62, 0.658554
1652101046.330427, lauv-thor, 62, 0.658554
1652101046.385031, lauv-thor, 73, 0.716288
1652101046.529846, lauv-thor, 62, 0.663506
1652101046.531707, lauv-thor, 62, 0.663506
1652101046.728767, lauv-thor, 62, 0.649642
1652101046.730447, lauv-thor, 62, 0.649642
1652101046.927842, lauv-thor, 62, 0.652613
1652101046.929694, lauv-thor, 62, 0.652613
1652101047.132926, lauv-thor, 62, 0.636768
1652101047.135411, lauv-thor, 62, 0.636768
1652101047.331406, lauv-thor, 62, 0.626865
1652101047.333037, lauv-thor, 62, 0.626865
1652101047.384279, lauv-thor, 73, 0.676495
1652101047.528889, lauv-thor, 62, 0.624884
1652101047.530611, lauv-thor, 62, 0.624884
1652101047.731277, lauv-thor, 62, 0.614981
1652101047.732918, lauv-thor, 62, 0.614981
1652101047.930817, lauv-thor, 62, 0.606068
1652101047.932869, lauv-thor, 62, 0.606068
1652101048.131059, lauv-thor, 62, 0.613991
1652101048.132933, lauv-thor, 62, 0.613991
1652101048.329665, lauv-thor, 62, 0.614981
1652101048.331393, lauv-thor, 62, 0.614981
1652101048.384828, lauv-thor, 73, 0.696392
1652101048.529866, lauv-thor, 62, 0.617952
1652101048.531712, lauv-thor, 62, 0.617952
1652101048.729887, lauv-thor, 62, 0.619933
1652101048.731546, lauv-thor, 62, 0.619933
1652101048.931633, lauv-thor, 62, 0.626865
1652101048.933088, lauv-thor, 62, 0.626865
1652101049.130355, lauv-thor, 62, 0.624884
1652101049.132014, lauv-thor, 62, 0.624884
1652101049.328927, lauv-thor, 62, 0.628845
1652101049.330664, lauv-thor, 62, 0.628845
1652101049.383792, lauv-thor, 73, 0.716288
1652101049.531549, lauv-thor, 62, 0.633797
1652101049.533317, lauv-thor, 62, 0.633797
1652101049.729493, lauv-thor, 62, 0.643700
1652101049.731088, lauv-thor, 62, 0.643700
1652101049.938733, lauv-thor, 62, 0.654593
1652101049.939197, lauv-thor, 62, 0.654593
1652101050.130746, lauv-thor, 62, 0.657564
1652101050.132424, lauv-thor, 62, 0.657564
1652101050.338117, lauv-thor, 62, 0.653603
1652101050.339523, lauv-thor, 62, 0.653603
1652101050.383359, lauv-thor, 73, 0.756082
1652101050.530352, lauv-thor, 62, 0.649642
1652101050.531947, lauv-thor, 62, 0.649642
1652101050.731523, lauv-thor, 62, 0.648651
1652101050.733546, lauv-thor, 62, 0.648651
1652101050.936530, lauv-thor, 62, 0.657564
1652101050.938057, lauv-thor, 62, 0.657564
1652101051.135327, lauv-thor, 62, 0.668458
1652101051.136981, lauv-thor, 62, 0.668458
1652101051.330840, lauv-thor, 62, 0.679351
1652101051.332930, lauv-thor, 62, 0.679351
1652101051.383833, lauv-thor, 73, 0.785928
1652101051.532092, lauv-thor, 62, 0.694205
1652101051.533740, lauv-thor, 62, 0.694205
1652101051.732725, lauv-thor, 62, 0.697176
1652101051.734653, lauv-thor, 62, 0.697176
1652101051.928613, lauv-thor, 62, 0.713021
1652101051.930347, lauv-thor, 62, 0.713021
1652101052.134152, lauv-thor, 62, 0.715002
1652101052.136719, lauv-thor, 62, 0.715002
1652101052.332102, lauv-thor, 62, 0.721934
1652101052.333735, lauv-thor, 62, 0.721934
1652101052.387355, lauv-thor, 73, 0.805825
1652101052.530938, lauv-thor, 62, 0.726885
1652101052.532521, lauv-thor, 62, 0.726885
1652101052.731469, lauv-thor, 62, 0.733818
1652101052.733116, lauv-thor, 62, 0.733818
1652101052.935852, lauv-thor, 62, 0.734808
1652101052.937485, lauv-thor, 62, 0.734808
1652101053.133093, lauv-thor, 62, 0.711041
1652101053.135458, lauv-thor, 62, 0.711041
