x,y,salinity
2400.1952031603473,1097.0184165304897,13.73509693145752
2423.9756020590016,1119.0291406023953,14.120417594909668
2448.1806509379894,1140.849567305984,14.708206176757812
2472.385699816977,1162.4798471281395,15.320942878723145
2496.1660987156315,1184.6793976737067,15.928815841674805
2519.946497614286,1206.6888043209078,16.528987884521484
2544.5761964736066,1228.6975549348672,17.12571907043457
2568.3565953722614,1250.516488929881,17.7063045501709
2592.1369942709157,1272.524905323619,18.253480911254883
2616.7666931302365,1294.342841426622,18.755504608154297
2640.547092028891,1316.350596162753,19.206937789916992
2664.3274909275456,1338.5478261626781,19.609617233276367
2688.1078898262003,1360.3651198213936,19.96743392944336
2711.8882887248546,1381.992286671306,20.28575325012207
2736.5179875841754,1404.37795477716,20.570159912109375
2760.2983864828298,1426.1942624624419,20.826030731201172
