timestamp (seconds since 01/01/1970), system, entity , value (psu)
1652165173.677697, lauv-thor, 73, 22.658001
1652165174.677706, lauv-thor, 73, 22.655001
1652165175.677813, lauv-thor, 73, 22.632999
1652165176.677633, lauv-thor, 73, 22.627001
1652165177.677377, lauv-thor, 73, 22.632999
1652165178.677609, lauv-thor, 73, 22.639999
1652165179.679822, lauv-thor, 73, 22.621000
1652165180.677883, lauv-thor, 73, 22.636999
1652165181.677464, lauv-thor, 73, 22.631001
1652165182.677521, lauv-thor, 73, 22.606001
1652165183.677029, lauv-thor, 73, 22.580999
1652165184.676612, lauv-thor, 73, 22.589001
1652165185.676829, lauv-thor, 73, 22.584999
1652165186.675886, lauv-thor, 73, 22.575001
1652165187.676563, lauv-thor, 73, 22.549000
1652165188.676208, lauv-thor, 73, 22.528000
1652165189.676594, lauv-thor, 73, 22.532000
1652165190.676665, lauv-thor, 73, 22.525000
1652165191.676608, lauv-thor, 73, 22.514999
1652165192.676728, lauv-thor, 73, 22.517000
1652165193.676385, lauv-thor, 73, 22.518999
1652165194.676529, lauv-thor, 73, 22.507000
1652165195.676517, lauv-thor, 73, 22.496000
1652165196.675868, lauv-thor, 73, 22.495001
1652165197.674906, lauv-thor, 73, 22.483000
1652165198.677022, lauv-thor, 73, 22.475000
1652165199.677476, lauv-thor, 73, 22.461000
1652165200.678269, lauv-thor, 73, 22.452999
1652165201.683323, lauv-thor, 73, 22.452000
1652165202.677927, lauv-thor, 73, 22.448999
1652165203.676473, lauv-thor, 73, 22.447001
1652165204.677754, lauv-thor, 73, 22.451000
1652165205.675290, lauv-thor, 73, 22.434000
1652165206.675902, lauv-thor, 73, 22.421000
1652165207.674521, lauv-thor, 73, 22.402000
1652165208.674401, lauv-thor, 73, 22.392000
1652165209.676893, lauv-thor, 73, 22.400000
1652165210.673819, lauv-thor, 73, 22.381001
1652165211.676577, lauv-thor, 73, 22.371000
1652165212.675658, lauv-thor, 73, 22.351999
1652165213.677764, lauv-thor, 73, 22.341999
1652165214.677790, lauv-thor, 73, 22.330999
1652165215.674908, lauv-thor, 73, 22.323000
1652165216.674747, lauv-thor, 73, 22.327000
1652165217.674367, lauv-thor, 73, 22.319000
1652165218.673131, lauv-thor, 73, 22.299999
1652165219.673592, lauv-thor, 73, 22.295000
1652165220.673433, lauv-thor, 73, 22.287001
1652165221.673737, lauv-thor, 73, 22.285999
1652165222.673748, lauv-thor, 73, 22.454000
1652165223.672283, lauv-thor, 73, 22.594999
1652165224.674474, lauv-thor, 73, 22.451000
1652165225.673640, lauv-thor, 73, 22.327999
1652165226.673283, lauv-thor, 73, 22.250000
1652165227.672756, lauv-thor, 73, 22.323000
1652165228.672488, lauv-thor, 73, 22.297001
1652165229.673186, lauv-thor, 73, 22.297001
1652165230.671751, lauv-thor, 73, 22.379000
1652165231.672715, lauv-thor, 73, 22.323999
1652165232.671202, lauv-thor, 73, 22.216000
1652165233.672146, lauv-thor, 73, 22.160999
1652165234.673217, lauv-thor, 73, 22.106001
1652165235.672139, lauv-thor, 73, 22.063999
1652165236.671559, lauv-thor, 73, 22.042999
1652165237.671785, lauv-thor, 73, 22.037001
1652165238.671503, lauv-thor, 73, 22.021000
1652165239.671282, lauv-thor, 73, 22.004999
1652165240.670839, lauv-thor, 73, 21.993000
1652165241.672111, lauv-thor, 73, 21.962000
1652165242.671748, lauv-thor, 73, 21.943001
1652165243.671120, lauv-thor, 73, 21.903999
1652165244.670028, lauv-thor, 73, 21.886000
1652165245.671309, lauv-thor, 73, 21.930000
1652165246.671486, lauv-thor, 73, 21.907000
1652165247.670697, lauv-thor, 73, 21.857000
1652165248.670675, lauv-thor, 73, 21.902000
1652165249.670894, lauv-thor, 73, 22.042999
1652165250.669987, lauv-thor, 73, 22.128000
1652165251.670247, lauv-thor, 73, 22.159000
1652165252.670167, lauv-thor, 73, 22.164000
1652165253.669856, lauv-thor, 73, 22.047001
1652165254.670493, lauv-thor, 73, 21.966000
1652165255.670144, lauv-thor, 73, 21.954000
1652165256.669969, lauv-thor, 73, 21.944000
1652165257.669651, lauv-thor, 73, 21.924999
1652165258.669433, lauv-thor, 73, 21.900000
1652165259.669416, lauv-thor, 73, 21.895000
1652165260.669488, lauv-thor, 73, 21.851999
1652165261.669350, lauv-thor, 73, 21.820999
1652165262.669215, lauv-thor, 73, 21.804001
1652165263.669029, lauv-thor, 73, 21.822001
1652165264.668926, lauv-thor, 73, 21.833000
1652165265.669368, lauv-thor, 73, 21.827999
1652165266.669342, lauv-thor, 73, 21.827999
1652165267.668289, lauv-thor, 73, 21.805000
1652165268.668697, lauv-thor, 73, 21.789000
1652165269.668920, lauv-thor, 73, 21.752001
1652165270.668794, lauv-thor, 73, 21.759001
1652165271.668931, lauv-thor, 73, 21.778000
1652165272.668812, lauv-thor, 73, 21.770000
1652165273.668552, lauv-thor, 73, 21.768000
1652165274.668515, lauv-thor, 73, 21.799999
1652165275.667944, lauv-thor, 73, 21.806999
1652165276.667723, lauv-thor, 73, 21.798000
1652165277.668164, lauv-thor, 73, 21.777000
1652165278.667779, lauv-thor, 73, 21.770000
1652165279.668588, lauv-thor, 73, 21.740999
1652165280.668130, lauv-thor, 73, 21.724001
1652165281.668243, lauv-thor, 73, 21.670000
1652165282.667760, lauv-thor, 73, 21.686001
1652165283.667586, lauv-thor, 73, 21.683001
1652165284.667130, lauv-thor, 73, 21.681999
1652165285.667296, lauv-thor, 73, 21.676001
1652165286.666715, lauv-thor, 73, 21.664000
1652165287.667304, lauv-thor, 73, 21.645000
1652165288.667880, lauv-thor, 73, 21.622000
1652165289.667895, lauv-thor, 73, 21.611000
1652165290.671031, lauv-thor, 73, 21.594999
1652165291.668380, lauv-thor, 73, 21.572001
1652165292.668115, lauv-thor, 73, 21.566000
1652165293.667867, lauv-thor, 73, 21.561001
1652165294.668129, lauv-thor, 73, 21.549000
1652165295.667535, lauv-thor, 73, 21.542999
1652165296.667780, lauv-thor, 73, 21.538000
1652165297.666588, lauv-thor, 73, 21.528000
1652165298.666343, lauv-thor, 73, 21.516001
1652165299.667713, lauv-thor, 73, 21.448000
1652165300.667125, lauv-thor, 73, 21.333000
1652165301.667716, lauv-thor, 73, 21.378000
1652165302.667207, lauv-thor, 73, 21.382000
1652165303.668792, lauv-thor, 73, 21.414000
1652165304.667001, lauv-thor, 73, 21.427000
1652165305.666614, lauv-thor, 73, 21.434000
1652165306.665972, lauv-thor, 73, 21.431999
1652165307.666876, lauv-thor, 73, 21.433001
1652165308.666817, lauv-thor, 73, 21.422001
1652165309.666832, lauv-thor, 73, 21.410999
1652165310.666852, lauv-thor, 73, 21.412001
1652165311.666627, lauv-thor, 73, 21.379000
1652165312.666310, lauv-thor, 73, 21.437000
1652165313.666745, lauv-thor, 73, 21.400000
1652165314.666566, lauv-thor, 73, 21.364000
1652165315.665450, lauv-thor, 73, 21.372000
1652165316.667188, lauv-thor, 73, 21.393000
1652165317.666188, lauv-thor, 73, 21.500000
1652165318.666013, lauv-thor, 73, 21.452000
1652165319.666013, lauv-thor, 73, 21.377001
1652165320.666191, lauv-thor, 73, 21.381001
1652165321.667531, lauv-thor, 73, 21.398001
1652165322.666010, lauv-thor, 73, 21.403999
1652165323.665801, lauv-thor, 73, 21.420000
1652165324.666358, lauv-thor, 73, 21.431000
1652165325.663789, lauv-thor, 73, 21.386999
1652165326.665327, lauv-thor, 73, 21.410999
1652165327.664598, lauv-thor, 73, 21.431000
1652165328.663661, lauv-thor, 73, 21.492001
1652165329.663725, lauv-thor, 73, 21.457001
1652165330.663653, lauv-thor, 73, 21.427999
1652165331.664291, lauv-thor, 73, 21.334999
1652165332.664652, lauv-thor, 73, 21.239000
1652165333.663591, lauv-thor, 73, 21.184999
1652165334.663577, lauv-thor, 73, 21.146000
1652165335.661946, lauv-thor, 73, 21.156000
1652165336.662757, lauv-thor, 73, 21.150999
1652165337.662467, lauv-thor, 73, 21.131001
1652165338.662031, lauv-thor, 73, 21.212999
1652165339.662289, lauv-thor, 73, 21.204000
1652165340.661784, lauv-thor, 73, 21.245001
1652165341.662455, lauv-thor, 73, 21.233000
1652165342.662623, lauv-thor, 73, 21.212000
1652165343.662238, lauv-thor, 73, 21.170000
1652165344.661575, lauv-thor, 73, 21.132999
1652165345.661860, lauv-thor, 73, 21.125000
1652165346.661302, lauv-thor, 73, 21.118000
1652165347.661526, lauv-thor, 73, 21.218000
1652165348.661016, lauv-thor, 73, 21.643999
1652165349.661410, lauv-thor, 73, 21.815001
1652165350.660679, lauv-thor, 73, 21.436001
1652165351.660285, lauv-thor, 73, 21.214001
1652165352.660179, lauv-thor, 73, 21.101999
1652165353.661192, lauv-thor, 73, 21.051001
1652165354.660914, lauv-thor, 73, 21.166000
1652165355.660857, lauv-thor, 73, 21.278000
1652165356.660546, lauv-thor, 73, 21.466999
1652165357.660375, lauv-thor, 73, 21.469000
1652165358.659672, lauv-thor, 73, 21.548000
1652165359.659560, lauv-thor, 73, 21.306999
1652165360.660603, lauv-thor, 73, 21.157000
1652165361.659372, lauv-thor, 73, 21.280001
1652165362.659172, lauv-thor, 73, 21.350000
1652165363.660312, lauv-thor, 73, 21.108999
1652165364.659988, lauv-thor, 73, 20.976999
1652165365.659544, lauv-thor, 73, 20.921000
1652165366.659393, lauv-thor, 73, 20.878000
1652165367.659879, lauv-thor, 73, 20.858999
1652165368.659673, lauv-thor, 73, 20.797001
1652165369.660963, lauv-thor, 73, 20.721001
1652165370.659653, lauv-thor, 73, 20.714001
1652165371.659751, lauv-thor, 73, 20.676001
1652165372.659384, lauv-thor, 73, 20.695999
1652165373.658398, lauv-thor, 73, 20.533001
1652165374.659161, lauv-thor, 73, 20.621000
1652165375.664215, lauv-thor, 73, 20.631001
1652165376.660033, lauv-thor, 73, 20.570000
1652165377.659617, lauv-thor, 73, 20.664000
1652165378.659784, lauv-thor, 73, 20.702000
1652165379.658821, lauv-thor, 73, 20.691999
1652165380.661383, lauv-thor, 73, 20.733000
1652165381.658784, lauv-thor, 73, 20.735001
1652165382.658740, lauv-thor, 73, 20.672001
1652165383.657993, lauv-thor, 73, 20.549000
1652165384.657938, lauv-thor, 73, 20.545000
1652165385.658265, lauv-thor, 73, 20.646000
1652165386.657891, lauv-thor, 73, 20.695000
1652165387.658636, lauv-thor, 73, 21.037001
1652165388.658264, lauv-thor, 73, 21.205999
1652165389.658170, lauv-thor, 73, 21.028999
1652165390.658373, lauv-thor, 73, 20.913000
1652165391.658338, lauv-thor, 73, 20.808001
1652165392.657995, lauv-thor, 73, 20.780001
1652165393.657298, lauv-thor, 73, 20.802999
1652165394.656770, lauv-thor, 73, 20.811001
1652165395.656792, lauv-thor, 73, 20.733999
1652165396.659291, lauv-thor, 73, 20.715000
1652165397.657218, lauv-thor, 73, 20.768000
1652165398.656728, lauv-thor, 73, 20.811001
1652165399.657888, lauv-thor, 73, 20.855000
1652165400.657282, lauv-thor, 73, 20.839001
1652165401.656714, lauv-thor, 73, 20.903999
1652165402.657259, lauv-thor, 73, 20.950001
1652165403.656574, lauv-thor, 73, 20.917999
1652165404.657183, lauv-thor, 73, 20.882999
1652165405.656862, lauv-thor, 73, 20.947001
1652165406.655874, lauv-thor, 73, 21.152000
1652165407.657291, lauv-thor, 73, 21.330999
1652165408.656524, lauv-thor, 73, 21.117001
1652165409.656737, lauv-thor, 73, 21.473000
1652165410.656470, lauv-thor, 73, 21.370001
1652165411.656629, lauv-thor, 73, 20.995001
1652165412.656743, lauv-thor, 73, 20.732000
1652165413.656617, lauv-thor, 73, 20.870001
1652165414.655995, lauv-thor, 73, 21.181999
1652165415.654900, lauv-thor, 73, 21.539000
1652165416.655883, lauv-thor, 73, 21.434000
1652165417.656169, lauv-thor, 73, 21.224001
1652165418.655690, lauv-thor, 73, 21.003000
1652165419.655742, lauv-thor, 73, 20.830000
1652165420.656646, lauv-thor, 73, 20.987000
1652165421.656113, lauv-thor, 73, 21.129000
1652165422.656601, lauv-thor, 73, 21.083000
1652165423.656261, lauv-thor, 73, 21.395000
1652165424.655993, lauv-thor, 73, 21.541000
1652165425.655999, lauv-thor, 73, 21.615000
1652165426.654964, lauv-thor, 73, 21.358000
1652165427.658983, lauv-thor, 73, 21.063000
1652165428.655952, lauv-thor, 73, 21.340000
1652165429.655819, lauv-thor, 73, 21.459999
1652165430.655586, lauv-thor, 73, 21.399000
1652165431.655900, lauv-thor, 73, 21.631001
1652165432.655744, lauv-thor, 73, 21.566999
1652165433.655277, lauv-thor, 73, 21.332001
1652165434.655669, lauv-thor, 73, 21.423000
1652165435.654496, lauv-thor, 73, 21.283001
1652165436.655168, lauv-thor, 73, 21.077000
1652165437.654572, lauv-thor, 73, 21.209999
1652165438.653397, lauv-thor, 73, 21.568001
1652165439.653922, lauv-thor, 73, 21.721001
1652165440.653962, lauv-thor, 73, 22.264000
1652165441.655135, lauv-thor, 73, 23.132999
1652165442.655098, lauv-thor, 73, 24.341000
1652165443.654445, lauv-thor, 73, 26.518000
1652165444.654017, lauv-thor, 73, 28.247000
1652165445.654223, lauv-thor, 73, 28.921000
1652165446.653834, lauv-thor, 73, 28.834000
1652165447.655745, lauv-thor, 73, 28.011000
1652165448.653270, lauv-thor, 73, 26.278000
1652165449.653447, lauv-thor, 73, 25.115999
1652165450.655324, lauv-thor, 73, 23.990000
1652165451.653749, lauv-thor, 73, 22.921000
1652165452.653776, lauv-thor, 73, 22.275999
1652165453.654281, lauv-thor, 73, 21.325001
1652165454.653031, lauv-thor, 73, 20.485001
1652165455.653105, lauv-thor, 73, 19.323000
1652165456.653091, lauv-thor, 73, 18.388000
1652165457.655888, lauv-thor, 73, 18.075001
1652165458.655277, lauv-thor, 73, 17.788000
1652165459.657195, lauv-thor, 73, 17.634001
1652165460.652551, lauv-thor, 73, 17.778000
1652165461.652025, lauv-thor, 73, 18.125999
1652165462.653882, lauv-thor, 73, 18.002001
1652165463.654502, lauv-thor, 73, 18.034000
1652165464.653517, lauv-thor, 73, 18.462999
1652165465.653574, lauv-thor, 73, 18.639999
1652165466.653995, lauv-thor, 73, 18.541000
1652165467.653141, lauv-thor, 73, 18.193001
1652165468.654257, lauv-thor, 73, 18.224001
1652165469.652591, lauv-thor, 73, 18.726000
1652165470.651742, lauv-thor, 73, 19.924000
1652165471.654180, lauv-thor, 73, 19.966999
1652165472.652484, lauv-thor, 73, 20.118000
1652165473.654360, lauv-thor, 73, 20.597000
1652165474.652497, lauv-thor, 73, 20.825001
1652165475.651633, lauv-thor, 73, 20.882000
1652165476.652383, lauv-thor, 73, 20.931000
1652165477.650990, lauv-thor, 73, 20.511999
1652165478.650821, lauv-thor, 73, 19.841999
1652165479.652764, lauv-thor, 73, 20.636000
1652165480.649113, lauv-thor, 73, 20.850000
1652165481.649706, lauv-thor, 73, 20.999001
1652165482.650324, lauv-thor, 73, 21.204000
1652165483.648204, lauv-thor, 73, 21.299000
1652165484.648844, lauv-thor, 73, 21.362000
1652165485.648479, lauv-thor, 73, 21.405001
1652165486.648541, lauv-thor, 73, 21.343000
1652165487.649177, lauv-thor, 73, 21.344000
1652165488.648895, lauv-thor, 73, 21.436001
1652165489.648587, lauv-thor, 73, 21.486000
1652165490.648624, lauv-thor, 73, 21.518000
1652165491.648309, lauv-thor, 73, 21.507999
1652165492.647502, lauv-thor, 73, 21.516001
1652165493.648249, lauv-thor, 73, 21.562000
1652165494.648488, lauv-thor, 73, 21.594999
1652165495.648386, lauv-thor, 73, 21.620001
1652165496.648325, lauv-thor, 73, 21.652000
1652165497.648338, lauv-thor, 73, 21.659000
1652165498.646960, lauv-thor, 73, 21.124001
1652165499.647910, lauv-thor, 73, 20.295000
1652165500.647334, lauv-thor, 73, 20.177000
1652165501.647310, lauv-thor, 73, 21.312000
1652165502.646468, lauv-thor, 73, 21.662001
1652165503.646556, lauv-thor, 73, 21.747000
1652165504.646815, lauv-thor, 73, 21.702000
1652165505.646859, lauv-thor, 73, 20.753000
1652165506.647105, lauv-thor, 73, 19.816999
1652165507.647597, lauv-thor, 73, 20.643000
1652165508.646373, lauv-thor, 73, 21.427999
1652165509.646801, lauv-thor, 73, 21.714001
1652165510.646590, lauv-thor, 73, 21.745001
1652165511.646106, lauv-thor, 73, 21.471001
1652165512.645549, lauv-thor, 73, 21.267000
1652165513.645666, lauv-thor, 73, 21.238001
1652165514.645653, lauv-thor, 73, 21.608999
1652165515.645398, lauv-thor, 73, 21.802000
1652165516.645133, lauv-thor, 73, 21.864000
1652165517.645888, lauv-thor, 73, 21.952999
1652165518.645285, lauv-thor, 73, 22.427999
1652165519.646179, lauv-thor, 73, 22.818001
1652165520.645703, lauv-thor, 73, 23.545000
1652165521.644892, lauv-thor, 73, 25.100000
1652165522.645090, lauv-thor, 73, 27.049000
1652165523.644791, lauv-thor, 73, 28.405001
1652165524.645410, lauv-thor, 73, 29.229000
1652165525.644346, lauv-thor, 73, 29.548000
1652165526.645302, lauv-thor, 73, 29.972000
1652165527.644672, lauv-thor, 73, 30.180000
1652165528.645210, lauv-thor, 73, 30.254000
1652165529.644825, lauv-thor, 73, 30.393000
1652165530.645164, lauv-thor, 73, 30.608000
1652165531.646622, lauv-thor, 73, 30.827999
1652165532.651521, lauv-thor, 73, 30.989000
1652165533.643948, lauv-thor, 73, 31.108000
1652165534.645603, lauv-thor, 73, 31.195999
1652165535.645234, lauv-thor, 73, 31.246000
1652165536.654136, lauv-thor, 73, 31.294001
1652165537.645182, lauv-thor, 73, 31.323999
1652165538.645158, lauv-thor, 73, 31.349001
1652165539.645029, lauv-thor, 73, 31.332001
1652165540.644895, lauv-thor, 73, 31.232000
1652165541.647462, lauv-thor, 73, 31.072001
